Title,Author,Year,Available,ISBN Code,Popularity
The Alchemist,Paulo Coelho,1988,No,*9780061122415,43
Clean Code,Robert C. Martin,2008,Yes,*9780132350884,90
Atomic Habits,James Clear,2018,No,*9780735211292,157
The Pragmatic Programmer,Andrew Hunt,1999,Yes,*9780201616224,75
Introduction to Algorithms,Thomas H. Cormen,2022,No,*9780262046305,119
Python Crash Course,Eric Matthes,2023,Yes,*9781718502703,51
Deep Learning,Ian Goodfellow,2016,Yes,*9780262035613,37
Design Patterns,Erich Gamma,1994,No,*9780201633610,95
The Psychology of Money,Morgan Housel,2020,No,*9780857197689,128
Think Like a Monk,Jay Shetty,2020,Yes,*9781982134488,44
The Hobbit,J.R.R. Tolkien,1937,No,*9780547928227,171
Harry Potter and the Philosopher's Stone,J.K. Rowling,1997,No,*9780747532699,245
The Silent Patient,Alex Michaelides,2019,Yes,*9781250301697,39
Sapiens,Yuval Noah Harari,2014,No,*9780062316110,134
Rich Dad Poor Dad,Robert T. Kiyosaki,1997,Yes,*9781612680194,97
Artificial Intelligence: A Modern Approach,Stuart Russell,2021,No,*9780134610993,65
Computer Networks,Andrew S. Tanenbaum,2021,Yes,*9780136764052,29
Operating System Concepts,Abraham Silberschatz,2018,No,*9781119456339,58
The C Programming Language,Brian W. Kernighan,1988,Yes,*9780131103627,81
The Great Gatsby,F. Scott Fitzgerald,1925,Yes,*9780743273565,23
